Nome,Tipo,Tamanho,Tendência,PV_médio,PV_dados,CA,Deslocamento,Força,mod_força,Destreza,mod_destreza,Constituição,mod_constituição,Inteligência,mod_inteligência,Sabedoria,mod_sabedoria,Carisma,mod_carisma,Infos,Nível_desafio,XP,Ações,Dano_médio
AARAKOCRA,Humanoide,Médio,voo 15 m FOR 10,13,3d8,12,6 m,10,+0,14,+2,10,+0,11,+0,12,+1,11,+0,Perícias Percepção +5 Sentidos Percepção passiva 15 Idiomas Auran,1/4,50," Garra. Ataque Corpo-a-Corpo com Arma: +4 para atingir, alcance 1,5 m, um alvo. Acerto: 4 (1d4 + 2) de dano cortante. Azagaia. Ataque à Distância com Arma: +4 para atingir, alcance 1,5 m ou 9/36 m, um alvo. Acerto: 5 (1d6 + 2) de dano perfurante.",5
ABOCANHADOR MATRAQUEANTE,Aberração,Média,neutro Classe de Armadura 9 Pontos de Vida 67,67,9d8 + 27,9,3 m,10,+0,8,1,16,+3,3,4,10,+0,6,2,"Imunidade a Condição caído  Sentidos visão no escuro 18 m, Percepção passiva 10 Idiomas ",2,450," Ataques Múltiplos. O abocanhador matraqueante realiza um ataque de mordida e, se puder, usa sua Cusparada Cegante. Mordida. Ataque Corpo-a-Corpo com Arma: +2 para atingir, alcance 1,5 m, uma criatura. Acerto: 17 (5d6) de dano perfurante.",17
ABOLETE,Aberração,Grande,leal e mau  Classe de Armadura 17,135,18d10 + 36,17,3 m,21,+5,9,1,15,+2,18,+4,15,+2,18,+4," Testes de Resistência Con +6, Int +8, Sab +6 Perícias História +12, Percepção +10  Sentidos visão no escuro 36 m, Percepção passiva 20 Idiomas Dialeto Subterrâneo, telepatia 36 m",10,5.900,"  O abolete pode realizar 3 ações lendárias, escolhidas dentre as opções abaixo. Apenas uma ação lendária pode ser usada por vez e apenas no final do turno de outra criatura. O abolete recupera as ações lendárias gastas no começo do turno dele.  Chicotear com a Cauda. O abolete realiza um ataque de cauda. Detectar. O abolete realiza um teste de Sabedoria (Percepção). Dreno Psíquico (Custa 2 Ações). Uma criatura enfeitiçada pelo abolete sofre 10 (3d6) de dano psíquico e o abolete recupera uma quantidade de pontos de vida igual ao dano sofrido pela criatura.",15
DEVA,Celestial,Médio,leal e bom  Classe de Armadura 17,136,16d8 + 64,17,9 m,18,+4,18,+4,18,+4,17,+3,20,+5,20,+5," Ataques Múltiplos. O deva realiza dois ataques corpo-a-corpo.   Maça. Ataque Corpo-a-Corpo com Arma: +8 para atingir, alcance 1,5 m, um alvo. Acerto: 7 (1d6 + 4) de dano de concussão mais 18 (4d8) de dano radiante.  Toque Curativo (3/Dia). O deva toca outra criatura. O alvo recupera magicamente 20 (4d8 + 2) pontos de vida e é libertado de qualquer maldição, doença, veneno, cegueira ou surdez.  Alterar Forma. O deva magicamente se metamorfoseia em um humanoide ou besta que tenha um nível de desafio igual ou inferior ao dele ou volta para a sua forma verdadeira. Ele reverte para sua forma verdadeira se morrer. Qualquer equipamento que ele esteja vestindo ou carregando é absorvido ou utilizado pela nova forma (à escolha do deva). Em uma nova forma, o deva mantem suas estatísticas de jogo e a habilidade de falar, mas sua CA, tipos de movimento, Força, Destreza e sentidos especiais são substituídos pelos da nova forma e ele ganha quaisquer estatísticas e capacidades (exceto características de classe, ações lendárias e ações de covil) que a nova forma possua e que ele não tenha. Testes de Resistência Sab +9, Car +9 Perícias Intuição +7, Percepção +9  Resistência a Dano radiante; concussão, perfurante e cortante de armas não-mágicas  Imunidade a Condição enfeitiçado, exausto, amedrontado Sentidos visão no escuro 36 m, Percepção passiva 19 Idiomas todos, telepatia 36 m",10,5.900," Celestial Médio, leal e bom  Classe de Armadura 17 (armadura natural) Pontos de Vida 136 (16d8 + 64) Deslocamento 9 m, voo 27 m  FOR 18 (+4) DES 18 (+4) CON 18 (+4) INT 17 (+3) SAB 20 (+5) CAR 20 (+5)  Ataques Múltiplos. O deva realiza dois ataques corpo-a-corpo.   Maça. Ataque Corpo-a-Corpo com Arma: +8 para atingir, alcance 1,5 m, um alvo. Acerto: 7 (1d6 + 4) de dano de concussão mais 18 (4d8) de dano radiante.",25
PLANETÁRIO,Celestial,Grande,leal e bom  Classe de Armadura 19,200,16d10 + 112,19,12 m,24,+7,20,+5,24,+7,19,+4,22,+6,25,+7," Testes de Resistência Con +12, Sab +11, Car +12 Perícias Percepção +11 Resistência a Dano radiante; concussão, perfurante e cortante de armas não-mágicas   Imunidade a Condição enfeitiçado, exausto, amedrontado Sentidos visão verdadeira 36 m, Percepção passiva 21 Idiomas todos, telepatia 36 m",16,15.000,,43
SOLAR,Celestial,Grande,leal e bom  Classe de Armadura 21,243,18d10 + 144,21,15 m,26,+8,22,+6,26,+8,25,+7,25,+7,30,+10," Testes de Resistência Int +14, Sab +14, Car +17 Perícias Percepção +14 Resistência a Dano radiante; concussão, perfurante e cortante de armas não-mágicas  Imunidade a Dano necrótico, veneno  Imunidade a Condição enfeitiçado, exausto, amedrontado, envenenado Sentidos visão verdadeira 36 m, Percepção passiva 24 Idiomas todos, telepatia 36 m",21,33.000,,36
ANKHEG,Monstruosidade,Grande,11 quando enterrado Pontos de Vida 39,39,6d10 + 6,14,9 m,17,+3,11,+0,13,+1,1,5,13,+1,6,2,"Sentidos visão no escuro 18 m, sentido sísmico,                Percepção passiva 11 Idiomas ",2,450," Mordida. Ataque Corpo-a-Corpo com Arma: +5 para atingir, alcance 1,5 m, um alvo. Acerto: 9 (2d6 + 3) de dano cortante mais 3 (1d6) de dano de ácido.",12
ANOMALIA DA ÁGUA,Elemental,Grande,neutro Classe de Armadura 13 Pontos de Vida 58,58,9d10 + 9,13,0 m,17,+3,16,+3,13,+1,11,+0,10,+0,10,+0,"Resistência a Dano fogo; concussão, perfurante e cortante de armas não-mágicas  Imunidade a Dano veneno Imunidade a Condição agarrado, caído, envenenado, exausto, impedido, inconsciente, paralisado  Sentidos percepção às cegas 9 m, Percepção passiva 10 Idiomas compreende Aquan, mas não pode falar",3,700," Constrição. Ataque Corpo-a-Corpo com Arma: +5 para atingir, alcance 3 m, uma criatura. Acerto: 13 (3d6 + 3) de dano de concussão.",13
APARIÇÃO,Morto-vivo,Médio,neutro e mau Classe de Armadura 13 Pontos de Vida 67,67,9d8 + 27,13,0 m,6,2,16,+3,16,+3,12,+1,14,+2,15,+2,"Resistência a Dano ácido, elétrico, fogo, frio, trovejante; concussão, perfurante e cortante de armas não-mágicas que não sejam de prata Imunidade a Dano necrótico, veneno Imunidade a Condição agarrado, caído, enfeitiçado, envenenado, exausto, impedido, inconsciente, paralisado, petrificado Sentidos visão no escuro 18 m, Percepção passiva 12 Idiomas os idiomas que ela conhecia em vida",5,1.800," Drenar Vida. Ataque Corpo-a-Corpo com Magia: +6 para atingir, alcance 1,5 m, uma criatura. Acerto: 21 (4d8 + 3) de dano necrótico. O alvo deve ser bem sucedido num teste de resistência de Constituição CD 14 ou seu máximo de pontos de vida será reduzido em um valor igual ao dano sofrido.",21
ARBUSTO ERRANTE,Planta,Grande,imparcial Classe de Armadura 15,136,16d10 + 48,15,6 m,18,+4,8,1,16,+3,5,3,10,+0,5,3,"Perícias Furtividade +2 Resistência a Dano frio, fogo Imunidade a Dano elétrico Imunidade a Condição cego, surdo, exausto Sentidos percepção às cegas 18 m (cego além desse raio), Percepção passiva 10 Idiomas ",5,1.800," Ataques Múltiplos. O arbusto errante realiza dois ataques de pancada. Se ambos os ataques atingirem um alvo Médio ou menor, o alvo estará agarrado (CD 14 para escapar) e o arbusto errante usa seu Engolfar nele.  Pancada. Ataque Corpo-a-Corpo com Arma: +7 para atingir, alcance 1,5 m, um alvo. Acerto: 13 (2d8 + 4) de dano de concussão.",13
