Nome,Tipo,Tamanho,Tendência,PV_médio,PV_dados,CA,Deslocamento,Força,mod_força,Destreza,mod_destreza,Constituição,mod_constituição,Inteligência,mod_inteligência,Sabedoria,mod_sabedoria,Carisma,mod_carisma,Infos,Nível_desafio,XP,Ações,Dano_médio
AARAKOCRA,Humanoide,Médio,neutro e bom,13,3d8,12,6.0,10.0,0.0,14.0,2.0,10.0,0.0,11.0,0.0,12.0,1.0,11.0,0.0,Perícias Percepção +5 Sentidos Percepção passiva 15 Idiomas Auran,1/4,50.0," Garra. Ataque Corpo-a-Corpo com Arma: +4 para atingir, alcance 1,5 m, um alvo. Acerto: 4 (1d4 + 2) de dano cortante. Azagaia. Ataque à Distância com Arma: +4 para atingir, alcance 1,5 m ou 9/36 m, um alvo. Acerto: 5 (1d6 + 2) de dano perfurante.",5.0
ABOCANHADOR MATRAQUEANTE,Aberração,Média,neutro,67,9d8 + 27,9,3.0,10.0,0.0,8.0,-1.0,16.0,3.0,3.0,-4.0,10.0,0.0,6.0,-2.0,"Imunidade a Condição caído  Sentidos visão no escuro 18 m, Percepção passiva 10 Idiomas ",2,450.0," Ataques Múltiplos. O abocanhador matraqueante realiza um ataque de mordida e, se puder, usa sua Cusparada Cegante. Mordida. Ataque Corpo-a-Corpo com Arma: +2 para atingir, alcance 1,5 m, uma criatura. Acerto: 17 (5d6) de dano perfurante.",17.0
ABOLETE,Aberração,Grande,leal e mau,135,18d10 + 36,17,3.0,21.0,5.0,9.0,-1.0,15.0,2.0,18.0,4.0,15.0,2.0,18.0,4.0," Testes de Resistência Con +6, Int +8, Sab +6 Perícias História +12, Percepção +10  Sentidos visão no escuro 36 m, Percepção passiva 20 Idiomas Dialeto Subterrâneo, telepatia 36 m",10,5900.0,"  O abolete pode realizar 3 ações lendárias, escolhidas dentre as opções abaixo. Apenas uma ação lendária pode ser usada por vez e apenas no final do turno de outra criatura. O abolete recupera as ações lendárias gastas no começo do turno dele.  Chicotear com a Cauda. O abolete realiza um ataque de cauda. Detectar. O abolete realiza um teste de Sabedoria (Percepção). Dreno Psíquico (Custa 2 Ações). Uma criatura enfeitiçada pelo abolete sofre 10 (3d6) de dano psíquico e o abolete recupera uma quantidade de pontos de vida igual ao dano sofrido pela criatura.",15.0
DEVA,Celestial,Médio,leal e bom,136,16d8 + 64,17,9.0,18.0,4.0,18.0,4.0,18.0,4.0,17.0,3.0,20.0,5.0,20.0,5.0," Ataques Múltiplos. O deva realiza dois ataques corpo-a-corpo.   Maça. Ataque Corpo-a-Corpo com Arma: +8 para atingir, alcance 1,5 m, um alvo. Acerto: 7 (1d6 + 4) de dano de concussão mais 18 (4d8) de dano radiante.  Toque Curativo (3/Dia). O deva toca outra criatura. O alvo recupera magicamente 20 (4d8 + 2) pontos de vida e é libertado de qualquer maldição, doença, veneno, cegueira ou surdez.  Alterar Forma. O deva magicamente se metamorfoseia em um humanoide ou besta que tenha um nível de desafio igual ou inferior ao dele ou volta para a sua forma verdadeira. Ele reverte para sua forma verdadeira se morrer. Qualquer equipamento que ele esteja vestindo ou carregando é absorvido ou utilizado pela nova forma (à escolha do deva). Em uma nova forma, o deva mantem suas estatísticas de jogo e a habilidade de falar, mas sua CA, tipos de movimento, Força, Destreza e sentidos especiais são substituídos pelos da nova forma e ele ganha quaisquer estatísticas e capacidades (exceto características de classe, ações lendárias e ações de covil) que a nova forma possua e que ele não tenha. Testes de Resistência Sab +9, Car +9 Perícias Intuição +7, Percepção +9  Resistência a Dano radiante; concussão, perfurante e cortante de armas não-mágicas  Imunidade a Condição enfeitiçado, exausto, amedrontado Sentidos visão no escuro 36 m, Percepção passiva 19 Idiomas todos, telepatia 36 m",10,5900.0," Celestial Médio, leal e bom  Classe de Armadura 17 (armadura natural) Pontos de Vida 136 (16d8 + 64) Deslocamento 9 m, voo 27 m  FOR 18 (+4) DES 18 (+4) CON 18 (+4) INT 17 (+3) SAB 20 (+5) CAR 20 (+5)  Ataques Múltiplos. O deva realiza dois ataques corpo-a-corpo.   Maça. Ataque Corpo-a-Corpo com Arma: +8 para atingir, alcance 1,5 m, um alvo. Acerto: 7 (1d6 + 4) de dano de concussão mais 18 (4d8) de dano radiante.",25.0
PLANETÁRIO,Celestial,Grande,leal e bom,200,16d10 + 112,19,12.0,24.0,7.0,20.0,5.0,24.0,7.0,19.0,4.0,22.0,6.0,25.0,7.0," Testes de Resistência Con +12, Sab +11, Car +12 Perícias Percepção +11 Resistência a Dano radiante; concussão, perfurante e cortante de armas não-mágicas   Imunidade a Condição enfeitiçado, exausto, amedrontado Sentidos visão verdadeira 36 m, Percepção passiva 21 Idiomas todos, telepatia 36 m",16,15000.0,"Ataques Múltiplos. O planetário realiza dois ataques corpo-a-corpo. Espada Grande. Ataque Corpo-a-Corpo com Arma: +12 para atingir, alcance 1,5 m, um alvo. Acerto: 21 (4d6 + 7) de dano cortante mais 22 (5d8) de dano radiante. Toque Curativo (4/Dia). O planetário toca outra criatura. O alvo recupera magicamente 30 (6d8 + 3) pontos de vida e é libertado de qualquer maldição, doença, veneno, cegueira ou surdez.",43.0
SOLAR,Celestial,Grande,leal e bom,243,18d10 + 144,21,15.0,26.0,8.0,22.0,6.0,26.0,8.0,25.0,7.0,25.0,7.0,30.0,10.0," Testes de Resistência Int +14, Sab +14, Car +17 Perícias Percepção +14 Resistência a Dano radiante; concussão, perfurante e cortante de armas não-mágicas  Imunidade a Dano necrótico, veneno  Imunidade a Condição enfeitiçado, exausto, amedrontado, envenenado Sentidos visão verdadeira 36 m, Percepção passiva 24 Idiomas todos, telepatia 36 m",21,33000.0,"Ataques Múltiplos. O solar realiza dois ataques com espada grande. Espada Grande. Ataque Corpo-a-Corpo com Arma: +15 para atingir, alcance 1,5 m, um alvo. Acerto: 22 (4d6 + 8) de dano cortante mais 27 (6d8) de dano radiante. Arco Longo Assassino. Ataque à Distância com Arma: +13 para atingir, distância 36/180 m, um alvo. Acerto: 15 (2d8 + 6) de dano perfurante mais 27 (6d8) de dano radiante. Se o alvo for uma criatura com 100 ou menos pontos de vida, ele deve ser bem sucedido num teste de resistência de Constituição CD 15 ou morrerá. Espada Voadora. O solar libera sua espada grande para que ela flutue magicamente em um espaço desocupado a 1,5 metro dele. Se o solar puder ver a espada, ele pode comanda-la mentalmente com uma ação bônus, para que ela voe até 15 metros e também realize um ataque contra um alvo ou retorne para as mãos do solar. Se a espada flutuante for alvo de qualquer efeito, ela é considerada como sendo empunhada pelo solar. Toque Curativo (4/Dia). O solar toca outra criatura. O alvo recupera magicamente 40 (8d8 + 4) pontos de vida e é libertado de qualquer maldição, doença, veneno, cegueira ou surdez.",49.0
ANKHEG,Monstruosidade,Grande,imparcial,39,6d10 + 6,14,9.0,17.0,3.0,11.0,0.0,13.0,1.0,1.0,-5.0,13.0,1.0,6.0,-2.0,"Sentidos visão no escuro 18 m, sentido sísmico,                Percepção passiva 11 Idiomas ",2,450.0," Mordida. Ataque Corpo-a-Corpo com Arma: +5 para atingir, alcance 1,5 m, um alvo. Acerto: 9 (2d6 + 3) de dano cortante mais 3 (1d6) de dano de ácido.",12.0
ANOMALIA DA ÁGUA,Elemental,Grande,neutro,58,9d10 + 9,13,0.0,17.0,3.0,16.0,3.0,13.0,1.0,11.0,0.0,10.0,0.0,10.0,0.0,"Resistência a Dano fogo; concussão, perfurante e cortante de armas não-mágicas  Imunidade a Dano veneno Imunidade a Condição agarrado, caído, envenenado, exausto, impedido, inconsciente, paralisado  Sentidos percepção às cegas 9 m, Percepção passiva 10 Idiomas compreende Aquan, mas não pode falar",3,700.0," Constrição. Ataque Corpo-a-Corpo com Arma: +5 para atingir, alcance 3 m, uma criatura. Acerto: 13 (3d6 + 3) de dano de concussão.",13.0
APARIÇÃO,Morto-vivo,Médio,neutro e mau,67,9d8 + 27,13,0.0,6.0,-2.0,16.0,3.0,16.0,3.0,12.0,1.0,14.0,2.0,15.0,2.0,"Resistência a Dano ácido, elétrico, fogo, frio, trovejante; concussão, perfurante e cortante de armas não-mágicas que não sejam de prata Imunidade a Dano necrótico, veneno Imunidade a Condição agarrado, caído, enfeitiçado, envenenado, exausto, impedido, inconsciente, paralisado, petrificado Sentidos visão no escuro 18 m, Percepção passiva 12 Idiomas os idiomas que ela conhecia em vida",5,1800.0," Drenar Vida. Ataque Corpo-a-Corpo com Magia: +6 para atingir, alcance 1,5 m, uma criatura. Acerto: 21 (4d8 + 3) de dano necrótico. O alvo deve ser bem sucedido num teste de resistência de Constituição CD 14 ou seu máximo de pontos de vida será reduzido em um valor igual ao dano sofrido.",21.0
ARBUSTO ERRANTE,Planta,Grande,imparcial,136,16d10 + 48,15,6.0,18.0,4.0,8.0,-1.0,16.0,3.0,5.0,-3.0,10.0,0.0,5.0,-3.0,"Perícias Furtividade +2 Resistência a Dano frio, fogo Imunidade a Dano elétrico Imunidade a Condição cego, surdo, exausto Sentidos percepção às cegas 18 m (cego além desse raio), Percepção passiva 10 Idiomas ",5,1800.0," Ataques Múltiplos. O arbusto errante realiza dois ataques de pancada. Se ambos os ataques atingirem um alvo Médio ou menor, o alvo estará agarrado (CD 14 para escapar) e o arbusto errante usa seu Engolfar nele.  Pancada. Ataque Corpo-a-Corpo com Arma: +7 para atingir, alcance 1,5 m, um alvo. Acerto: 13 (2d8 + 4) de dano de concussão.",13.0
AZER,Elemental,Médio,leal e neutro,39,6d8 + 12,17,9.0,17.0,3.0,12.0,1.0,15.0,2.0,12.0,1.0,13.0,1.0,10.0,0.0,"Testes de Resistência Con +4  Imunidade a Dano fogo, veneno Imunidade a Condição envenenado Sentidos Percepção passiva 11 Idiomas Ígneo",2,450.0," Martelo de Guerra. Ataque Corpo-a-Corpo com Arma: +5 para atingir, alcance 1,5 m, um alvo. Acerto: 7 (1d8 + 3) de dano de concussão ou 8 (1d10 + 3) de dano de concussão se for usado com duas mãos para realizar ataques corpo-a-corpo, mais 3 (1d6) de dano de fogo.",10.0
BANSHEE,Morto-vivo,Médio,caótico e mau,58,13d8,12,0.0,1.0,-5.0,14.0,2.0,10.0,0.0,12.0,1.0,11.0,0.0,17.0,3.0," Testes de Resistência Sab +2, Car +4  Resistência a Dano ácido, elétrico, fogo, frio, trovejante; concussão, perfurante e cortante de armas não-mágicas Imunidade a Condição agarrado, caído, enfeitiçado, envenenado, exausto, impedido, inconsciente, paralisado, petrificado Sentidos visão no escuro 18 m, Percepção passiva 10 Idiomas Comum, Élfico",4,1100.0," Morto-vivo Médio, caótico e mau  Toque Corruptor. Ataque Corpo-a-Corpo com Magia: +4 para atingir, alcance 1,5 m, um alvo. Acerto: 12 (3d6 + 2) de dano necrótico.",12.0
BASILISCO,Monstruosidade,Média,imparcial,52,8d8 + 16,15,6.0,16.0,3.0,8.0,-1.0,15.0,2.0,2.0,-4.0,8.0,-1.0,7.0,-2.0,"Sentidos visão no escuro 18 m, Percepção passiva 9 Idiomas ",3,700.0,"  Mordida. Ataque Corpo-a-Corpo com Arma: +5 para atingir, alcance 1,5 m, um alvo. Acerto: 10 (2d6 + 3) de dano perfurante mais 7 (2d6) de dano de veneno.",17.0
BEHIR,Monstruosidade,Enorme,neutro e mau,168,16d12 + 64,17,15.0,23.0,6.0,16.0,3.0,18.0,4.0,7.0,-2.0,14.0,2.0,12.0,1.0,"Perícias Furtividade +7, Percepção +6 Imunidade a Dano elétrico Sentidos visão no escuro 27 m, Percepção passiva 16 Idiomas Dracônico",11,7200.0," Ataques Múltiplos. O behir realiza dois ataques: um com sua mordida e um de constrição.  Mordida. Ataque Corpo-a-Corpo com Arma: +10 para atingir, alcance 3 m, um alvo. Acerto: 22 (3d10 + 6) de dano perfurante.  Constrição. Ataque Corpo-a-Corpo com Arma: +10 para atingir, alcance 1,5 m, uma criatura Grande ou menor. Acerto: 17 (2d10 + 6) de dano de concussão mais 17 (2d10 + 6) de dano cortante.",39.0
